dst,avg_rating,feedback_count,endorse_count,endorse_norm,hybrid_score,label
154,1.1136363636363635,44,133.0,0.04382207576809816,0.5787292197022309,low
85,1.04,75,352.0,0.11598023060428989,0.577990115302145,low
715,1.0,11,442.0,0.14563426683834127,0.5728171334191706,low
444,1.125,16,60.0,0.019769357489367593,0.5723846787446838,low
404,1.1111111111111112,18,96.0,0.03163097198298815,0.5713710415470497,low
328,1.1363636363636365,22,6.0,0.0019769357489367594,0.5691702860562866,low
498,1.1333333333333333,15,0.0,0.0,0.5666666666666667,low
124,1.0714285714285714,56,173.0,0.057001647427676556,0.564215109428124,low
226,1.125,32,6.0,0.0019769357489367594,0.5634884678744684,low
703,1.0909090909090908,11,62.0,0.020428336072346513,0.5556687134907187,low
707,1.0909090909090908,11,59.0,0.019439868197878133,0.5551744795534845,low
747,1.1,10,19.0,0.0062602965382997375,0.55313014826915,low
762,1.1,10,18.0,0.005930807246810278,0.5529654036234052,low
752,1.1,10,1.0,0.0003294892914894599,0.5501647446457448,low
622,1.0833333333333333,12,12.0,0.003953871497873519,0.5436436024156034,low
519,1.0666666666666667,15,35.0,0.011532125202131096,0.5390993959343989,low
587,1.0769230769230769,13,2.0,0.0006589785829789198,0.5387910277530279,low
580,1.0769230769230769,13,0.0,0.0,0.5384615384615384,low
256,1.0666666666666667,30,1.0,0.0003294892914894599,0.5334980779790781,low
478,1.0625,16,2.0,0.0006589785829789198,0.5315794892914895,low
362,1.0454545454545454,22,32.0,0.010543657327662716,0.5279991013911041,low
188,1.0512820512820513,39,10.0,0.0032948929148945987,0.527288472098473,low
375,1.0,22,152.0,0.0500823723063979,0.525041186153199,low
720,1.0,11,147.0,0.0484349258489506,0.5242174629244754,low
403,1.0,20,125.0,0.041186161436182485,0.5205930807180913,low
553,1.0,15,104.0,0.03426688631490383,0.5171334431574519,low
682,1.0,12,99.0,0.03261943985745653,0.5163097199287283,low
408,0.9523809523809523,21,234.0,0.07710049420853361,0.514740723294743,low
650,0.9285714285714286,14,262.0,0.08632619437023849,0.5074488114708335,low
701,1.0,12,45.0,0.014827018117025696,0.5074135090585129,low
815,1.0,10,36.0,0.011861614493620555,0.5059308072468103,low
666,1.0,12,12.0,0.003953871497873519,0.5019769357489368,low
623,1.0,13,7.0,0.002306425040426219,0.5011532125202132,low
585,1.0,14,0.0,0.0,0.5,low
649,0.9285714285714286,14,152.0,0.0500823723063979,0.48932690043891325,low
680,0.9230769230769231,13,139.0,0.04579901151703492,0.484437967296979,low
541,0.9375,16,63.0,0.020757825363835972,0.479128912681918,low
244,0.9428571428571428,35,16.0,0.005271828663831358,0.4740644857604871,low
255,0.9411764705882353,34,17.0,0.005601317955320818,0.47338889427177805,low
166,0.9375,48,16.0,0.005271828663831358,0.4713859143319157,low
507,0.9411764705882353,17,0.0,0.0,0.47058823529411764,low
785,0.9090909090909091,11,23.0,0.007578253704257578,0.4583345813975833,low
813,0.9090909090909091,11,13.0,0.004283360789362979,0.456687134940136,low
885,0.9,10,4.0,0.0013179571659578395,0.45065897858297893,low
645,0.7647058823529411,17,408.0,0.13443163092769964,0.44956875664032037,low
824,0.8333333333333334,12,194.0,0.06392092254895522,0.4486271279411443,low
272,0.8823529411764706,34,1.0,0.0003294892914894599,0.44134121523398,low
487,0.85,20,9.0,0.002965403623405139,0.42648270181170256,low
739,0.8461538461538461,13,9.0,0.002965403623405139,0.42455962488862564,low
656,0.8,15,94.0,0.03097199340000923,0.41548599670000463,low
613,0.8125,16,12.0,0.003953871497873519,0.40822693574893676,low
288,0.8055555555555556,36,27.0,0.008896210870215417,0.4072258832128855,low
792,0.7692307692307693,13,134.0,0.04415156505958762,0.40669116714517844,low
536,0.7894736842105263,19,18.0,0.005930807246810278,0.3977022457286683,low
754,0.7857142857142857,14,3.0,0.0009884678744683797,0.39335137679437704,low
641,0.7647058823529411,17,30.0,0.009884678744683796,0.38729528054881246,low
994,0.7,10,160.0,0.05271828663831358,0.37635914331915676,low
926,0.7272727272727273,11,63.0,0.020757825363835972,0.37401527631828163,low
95,0.7326732673267327,101,18.0,0.005930807246810278,0.36930203728677147,low
777,0.7142857142857143,14,69.0,0.02273476111277273,0.3685102376992435,low
614,0.7222222222222222,18,11.0,0.003624382206384059,0.36292330221430313,low
716,0.6470588235294118,17,84.0,0.02767710048511463,0.3373679620072632,low
748,0.6470588235294118,17,73.0,0.02405271827873057,0.3355557709040712,low
863,0.6,15,187.0,0.061614497508529,0.3308072487542645,low
145,0.6071428571428571,84,75.0,0.02471169686170949,0.3159272770022833,low
759,0.6111111111111112,18,11.0,0.003624382206384059,0.3073677466587476,low
941,0.5714285714285714,14,1.0,0.0003294892914894599,0.28587903036003043,low
937,0.5333333333333333,15,0.0,0.0,0.26666666666666666,low
876,0.5294117647058824,17,7.0,0.002306425040426219,0.2658590948731543,low
1249,0.5,10,62.0,0.020428336072346513,0.26021416803617325,low
946,0.5,16,42.0,0.013838550242557314,0.25691927512127866,low
491,0.4722222222222222,36,0.0,0.0,0.2361111111111111,low
1322,0.45454545454545453,11,44.0,0.014497528825536236,0.23452149168549538,low
801,0.45454545454545453,22,8.0,0.002635914331915679,0.2285906844386851,low
1760,0.25,12,4.0,0.0013179571659578395,0.12565897858297892,low
1638,0.2,15,84.0,0.02767710048511463,0.11383855024255732,low
177,0.21717171717171718,198,0.0,0.0,0.10858585858585859,low
1691,0.15,20,46.0,0.015156507408515155,0.08257825370425757,low
798,0.12345679012345678,81,0.0,0.0,0.06172839506172839,low
3254,0.1,10,35.0,0.011532125202131096,0.05576606260106555,low
2336,0.046511627906976744,43,20.0,0.006589785829789197,0.02655070686838297,low
5679,0.0,11,64.0,0.021087314655325432,0.010543657327662716,low
5342,0.0,39,0.0,0.0,0.0,low
7334,-0.06666666666666667,15,5.0,0.0016474464574472993,-0.03250961010460968,low
7328,-0.09090909090909091,11,4.0,0.0013179571659578395,-0.044795566871566536,low
7341,-0.1,10,24.0,0.007907742995747037,-0.046046128502126485,low
7564,-0.31521739130434784,92,0.0,0.0,-0.15760869565217392,low
7415,-0.4666666666666667,15,7.0,0.002306425040426219,-0.23218012081312023,low
7552,-0.46938775510204084,49,0.0,0.0,-0.23469387755102042,low
7565,-0.6304347826086957,46,10.0,0.0032948929148945987,-0.31356994484690054,low
7550,-0.7333333333333333,30,0.0,0.0,-0.36666666666666664,low
7512,-0.8333333333333334,18,66.0,0.021746293238304352,-0.4057935200475145,low
7595,-1.3617021276595744,47,5.0,0.0016474464574472993,-0.6800273406010635,low
7525,-1.3846153846153846,13,0.0,0.0,-0.6923076923076923,low
7603,-2.2903225806451615,93,0.0,0.0,-1.1451612903225807,low
7580,-2.3333333333333335,15,6.0,0.0019769357489367594,-1.1656781987921983,low
7577,-2.5384615384615383,13,9.0,0.002965403623405139,-1.2677480674190666,low
7560,-2.6,10,1.0,0.0003294892914894599,-1.2998352553542554,low
7562,-2.8,10,2.0,0.0006589785829789198,-1.3996705107085103,low
7588,-2.8421052631578947,19,1.0,0.0003294892914894599,-1.4208878869332027,low
7579,-3.4,10,206.0,0.06787479404682874,-1.6660626029765855,low
7591,-3.4705882352941178,17,2.0,0.0006589785829789198,-1.7349646283555693,low
7600,-3.5,34,1.0,0.0003294892914894599,-1.7498352553542553,low
7589,-3.7333333333333334,15,4.0,0.0013179571659578395,-1.8660076880836878,low
7599,-5.7894736842105265,19,30.0,0.009884678744683796,-2.8897945027329213,low
7598,-5.7894736842105265,19,0.0,0.0,-2.8947368421052633,low
7601,-7.5,16,1.0,0.0003294892914894599,-3.749835255354255,low
7604,-8.602739726027398,73,0.0,0.0,-4.301369863013699,low
7602,-8.823529411764707,17,0.0,0.0,-4.411764705882353,low
