dst,peertrust_score
1,0.8208634525301313
2,0.7878787401285612
3,0.5887445530631006
4,0.7946127464544462
6,0.6900826028049111
7,0.7783388978335571
10,0.9696969109274599
13,0.7142630060529163
15,0.6993006569188412
17,0.7559808154269999
19,0.7636363173553746
20,0.7272726831955949
21,0.757575711662078
23,0.8065267576463968
25,0.7642799214997955
26,0.699724475498792
28,0.7052341170381526
29,0.7307358864489073
32,0.6666666262626286
33,0.7272726831955949
35,0.7211554363275946
36,0.7199264944764475
37,0.6868686452402841
39,0.7975757092378357
41,0.707495969880627
45,0.77685945704984
51,0.7251828191634236
54,0.7359306913288758
56,0.7171716737067673
57,0.7499999545454572
60,0.7943066552578151
61,0.5723905377002367
62,0.5617715277248025
64,0.7132191047763564
68,0.7030302604224083
69,0.7070706642179395
70,0.7171716737067673
72,0.7272726831955949
75,0.5696969351698827
77,0.7229436791289545
78,0.709090866115705
80,0.7165774966780126
81,0.7407406958473651
88,0.7676767211509057
93,0.7738927269901844
95,0.7171716737067673
96,0.6797706385724592
100,0.6818181404958702
101,0.7619047157287184
104,0.7485970365608978
108,0.6666666262626286
109,0.757575711662078
110,0.6909090490358152
111,0.7979797496173888
112,0.6969696547291118
113,0.7121211689623533
114,0.6801346389143988
115,0.7121211689623533
120,0.7474747021732504
125,0.7121211689623533
129,0.7474747021732504
132,0.7083332904040429
134,0.757575711662078
135,0.624307554212706
141,0.7012986587957523
142,0.7052341170381526
143,0.7242423803489466
144,0.7065779320477528
146,0.6909090490358152
148,0.6787878376492219
149,0.7164501730289938
152,0.612121175022959
153,0.7171716737067673
156,0.6839826425291905
159,0.7398989450566296
160,0.7705627238619994
163,0.6742423833792495
166,0.6713286306420876
167,0.7823690985892007
171,0.6921211701744745
177,0.6195285819814327
178,0.7308377453681223
179,0.5800865449298197
180,0.6787878376492219
181,0.6868686452402841
184,0.7336522681359071
186,0.6818181404958702
192,0.7593582427483417
198,0.6993938970064304
200,0.7445886994621567
202,0.7372858578193023
203,0.6868686452402841
204,0.559139751058979
206,0.6787878376492219
207,0.6839826425291905
209,0.7050504623201739
212,0.6969696547291118
214,0.7229436791289545
215,0.7455688513263017
216,0.6464646072849732
