dst,eigentrust_score
1,0.06868341202904786
4,0.04889672896652639
2,0.04690460798594846
3,0.04353414838480054
5,0.04186696662693908
7,0.025548024090429364
6,0.01511657310387746
35,0.008384201089632908
13,0.007058422758647098
202,0.006360885738582615
2642,0.005537365115909838
41,0.004736366858006672
60,0.00470491387673178
1810,0.0041698522934641115
1386,0.00413902906171857
1899,0.003761262143293531
2028,0.0035507373748261
1566,0.003504441045588204
905,0.0034741715738649337
198,0.003406923273623684
39,0.0033419273359210602
132,0.003333657628754434
1317,0.0033239734592464864
62,0.003275996968760597
304,0.003138374333092608
135,0.0030740768952051594
64,0.0030455244073713866
537,0.003036508280381582
1018,0.0028818104602544264
1352,0.002846312555937701
2125,0.0027454777073860144
57,0.002692542105051651
149,0.002632926382221867
4172,0.002589018840863988
245,0.0025593699095477563
23,0.0025470994778525
1334,0.0025399389137947866
1396,0.0025212901226452198
21,0.0024921759674471724
1363,0.0023738737917156217
104,0.002365598665009145
178,0.0023608536843765537
353,0.0023551680460357754
546,0.002324891460792758
4197,0.002305380573519105
1201,0.002304801547628487
592,0.002294131869579243
144,0.0022890369270711906
908,0.0022057020577519247
2198,0.0020870077100014245
4291,0.002063158849047003
492,0.0020568099053553555
110,0.0020300175901314973
2388,0.00196418518838838
1217,0.001956086856039484
171,0.0019541482919059813
540,0.0019490688807941386
522,0.0019487532098903582
1565,0.0019432916503736236
2067,0.001941521773845745
1366,0.0019145757941220645
1585,0.0019122404618777769
455,0.0018580435581287793
20,0.001840733828840357
634,0.0018306658093887294
54,0.0018224994841640168
732,0.0018095035166630945
2045,0.001800689975293795
832,0.0017998774676537333
17,0.0017989744834922133
1832,0.0017886070710927322
468,0.0017874127960645669
1953,0.0017837751676629565
113,0.0017726279090154787
29,0.001735850756013
2296,0.0017238771005717375
77,0.0017194938534146424
25,0.001694865803813363
687,0.0016911485313884263
632,0.001675831587323414
223,0.001674630758014639
142,0.0016652481451507606
166,0.001663318513531497
882,0.0016588335201401828
729,0.0015939731783017681
1555,0.0015491849017217078
1162,0.0015473191535974344
215,0.001542278030187764
1656,0.0015409212684188939
937,0.0015403472612577336
523,0.0015308550083979737
779,0.0015201123902952958
1053,0.0015172455753203497
167,0.0014653442317292622
143,0.0014543759133081309
2173,0.0014442057588002148
1281,0.0014297191510511055
651,0.0014125196066247271
654,0.0013986221995765638
280,0.0013881658683315434
45,0.0013835024936667553
1731,0.001383243913212674
19,0.0013765062854584702
2625,0.001368610970813694
647,0.0013650700522028266
1860,0.0013642476735403913
545,0.001359982059675706
3735,0.0013502945508536007
125,0.0013461939471346698
1316,0.001334336662717898
1744,0.0013307513539974896
350,0.0013274777640553872
270,0.0013029843206435465
2942,0.0012999034438449467
1615,0.0012934502601265408
156,0.0012787795019107533
1802,0.0012694256997179479
401,0.001264230956462417
1693,0.001249075958510168
3699,0.001247964871681856
36,0.0012392754550006044
159,0.0012334418286128726
1257,0.00122915893255154
61,0.0012257511489837502
425,0.0012239793634557404
114,0.0012061386557212102
630,0.0011986174541698596
3397,0.0011943005013558162
219,0.0011902535404789943
4559,0.0011561139124503278
1383,0.0011489719143656025
550,0.0011478080166446348
664,0.0011471128008626664
282,0.0011413179085977634
72,0.0011345980728327456
206,0.001121661344657009
3451,0.0011145512354786343
2344,0.0011136757123042145
384,0.0011099369729665313
319,0.0010825368295194736
658,0.0010632599024197156
516,0.0010625564185849025
26,0.0010617230989002494
3988,0.001059720137502571
249,0.001051909395594075
3897,0.0010448624157432921
256,0.0010439322476884652
2266,0.0010377772639183133
399,0.0010223240006192718
744,0.0010198624875418587
251,0.0010194443116625187
3828,0.0009976394696228354
538,0.0009964053981536432
5606,0.0009951960827190422
935,0.0009919429673922555
3649,0.0009897779891015416
1620,0.000985051739145303
1714,0.0009846330815922023
2404,0.0009813779137244389
31,0.0009761061274378639
209,0.0009728920088258171
134,0.0009708867320378495
2455,0.0009618840175087215
80,0.0009450616499370967
141,0.0009441080005740635
1992,0.0009438803104188605
775,0.0009300777415006636
266,0.0009296131511615371
309,0.0009284004262646594
758,0.0009271841436465894
5929,0.0009271841436465894
635,0.0009262498949903405
51,0.0009260690785284571
923,0.0009257776849769693
3598,0.0009089977008851786
273,0.0009049434016447852
15,0.000899950020991382
1921,0.0008851674220389083
2034,0.0008838551290645624
1245,0.0008773140674339338
1771,0.0008758280960952812
4852,0.0008692240368768618
696,0.0008678151236211684
1664,0.0008654683066096973
33,0.000862453017476957
296,0.0008372884610785375
2188,0.0008370669275352553
2176,0.0008325004096770587
2470,0.0008172968516814261
1675,0.0008159015144515515
109,0.0008151866143562392
3719,0.0008020408510768922
3916,0.000800271624853421
32,0.0007977936960221604
1487,0.000796254925362887
10,0.0007891704035780179
4611,0.00078281146245933
770,0.0007753368073901586
2145,0.0007751179428673025
2835,0.0007747133495958556
192,0.0007740559539229931
189,0.000766244318491808
416,0.0007641356836286631
1562,0.000762567924520334
78,0.0007596074031306229
87,0.0007561826910415462
396,0.0007554108053378925
1508,0.0007529968998459768
1629,0.0007513181925255725
308,0.000749393812911464
2322,0.0007476234050591103
484,0.0007459085386261644
466,0.0007445865644732552
579,0.0007426150646928091
1348,0.0007398210813362405
69,0.0007379518142815367
452,0.0007324822251874973
274,0.000728599277185216
5014,0.0007284182652194518
1984,0.0007265108093935192
2110,0.000725816671311552
2600,0.0007155245578365549
2998,0.0007135422073545243
1318,0.0007083252739362506
204,0.0007071355855121725
2397,0.0007059652849343688
823,0.0007039165143487892
1690,0.0007001433305900084
2725,0.000698717596441633
725,0.000697455104537247
81,0.0006930788405733842
115,0.0006929240002893403
1246,0.0006927036851578165
66,0.0006927036851578165
352,0.0006927036851578165
5498,0.0006927036851578165
244,0.000690109444251925
96,0.0006892147818318108
1094,0.0006860283722487152
383,0.0006859161616244445
2063,0.0006835014705145461
2142,0.0006817227410360035
312,0.0006783716401658452
481,0.0006727750346881222
494,0.0006720135178713315
4649,0.0006693577416599418
295,0.0006670662326904336
3366,0.0006654773990662342
4833,0.0006624841598927972
235,0.0006624088647730229
1529,0.0006566785605122359
3345,0.0006549713722294404
534,0.0006538653156048522
1701,0.0006535623131814101
695,0.0006523430498314058
4635,0.0006517027634487888
28,0.0006466051941032247
230,0.0006430017251818999
521,0.0006415671092733666
2187,0.0006371387967534512
1752,0.0006344613271506693
5227,0.0006328758011292335
535,0.0006320467236821744
75,0.0006306639690051564
1764,0.0006304004156465898
361,0.0006286106397625684
405,0.0006279505621425848
476,0.000627585779179739
363,0.0006243981557906336
539,0.0006216725313260654
3219,0.0006196811840576802
1735,0.0006114412838475529
250,0.0006106319723353633
101,0.0006083855595792742
325,0.0005956466164925934
4694,0.000594933481647185
2046,0.0005898603719388778
387,0.0005889651006503303
4921,0.0005775948459632263
1557,0.0005764055906946893
152,0.0005761257845103803
