dst,repulink_full_bepp_score
491,0.0012783026938335035
347,0.0012783024781934708
464,0.0012783024417663874
509,0.001278302422091492
503,0.0012783023997606918
542,0.0012783023859238467
501,0.0012783023758584755
474,0.001278302359863153
538,0.0012783023586471081
472,0.0012783023518622412
489,0.001278302348816119
521,0.0012783023286280148
476,0.001278302319144425
462,0.0012783023095737215
506,0.0012783022372386808
496,0.001278302210565999
527,0.0012783021015889328
585,0.0012770521170585882
706,0.0011007134790588465
772,0.0010676679140384766
756,0.0010676678854490914
842,0.0008069836512919923
800,0.0008069836495702913
806,0.0008069835838592553
477,0.0007765942101118858
498,0.0007575735239203779
479,0.0007477405392489423
482,0.000747629265557253
522,0.0007462229060401039
520,0.0007312584241393147
1115,0.0007209854020361823
1116,0.0007209853138297311
895,0.0007092594797642166
958,0.0007092594795363651
941,0.0007092594720563329
894,0.0007092594631767331
868,0.0007092594591664509
855,0.0007092594361895112
875,0.0007092594331237454
935,0.0007092594170148789
939,0.0007092594102951222
928,0.0007092593963316248
897,0.0007092593962294173
880,0.0007092593781330464
922,0.0007092593558608999
695,0.0006980613916334492
458,0.0006937958699882947
1131,0.0006883298267967205
1162,0.0006883298053930879
1134,0.0006883297851574506
740,0.0006522949260647897
1226,0.0006457083483380784
1220,0.0006457082765163345
1203,0.0006457082684888219
1208,0.0006457082597350602
494,0.0006378391859823989
1281,0.0006360811022909033
1292,0.0006360810934133815
577,0.0006250839416605778
753,0.0006232018390999059
1367,0.0006048392562248839
1332,0.0006048392419568923
1371,0.0006048392169609878
1327,0.0006048392062659117
1357,0.0006048391931058087
1339,0.0006048391929986273
1386,0.000604839176996357
1383,0.0006048391746054291
648,0.0006016841469169038
608,0.0006001313428471533
463,0.000579623361970253
752,0.000578713651732455
571,0.0005594877825780083
2397,0.0005580252771283049
2395,0.0005580251965794441
2399,0.0005580251763572794
504,0.0005544598725432768
741,0.0005531474140060554
528,0.0005436262013240725
468,0.0005368432340465631
2134,0.0005353172025567174
2210,0.0005353172017661386
2129,0.0005353172002580859
2170,0.000535317194616827
2125,0.0005353171925980942
861,0.0005344707630336954
1729,0.0005325548658213649
1722,0.0005325548586830816
899,0.0005303727253590691
1335,0.0005266713373703042
478,0.0005248681696698707
495,0.0005203211922168105
1586,0.0005132545758215873
1687,0.0005132545497668644
1711,0.0005132545327660667
1585,0.000513254520811178
1588,0.0005132545171458148
1693,0.0005132545171033535
1708,0.0005132545094767575
1672,0.0005132545050268115
1597,0.0005132544941663963
1706,0.0005132544839946249
1698,0.000513254466081725
1420,0.000512760491826834
1571,0.0005127604718517684
1499,0.0005127604537022666
1464,0.0005127604526502751
322,0.0005075891666560664
834,0.000501303930696046
2524,0.0004974991554551067
2534,0.0004974991501909972
2532,0.0004974991470588992
2519,0.0004974991452334006
710,0.0004952862947659755
933,0.0004941964162747762
1154,0.0004932650351977833
2473,0.000492423547266882
2466,0.0004924235467312111
2484,0.000492423544071206
2434,0.0004924235439818871
2486,0.0004924235349352149
2737,0.0004900995555039524
2717,0.0004900995524895735
774,0.0004841600949207044
1334,0.0004830644944875567
2087,0.0004819301845465138
2044,0.000481930183864555
2354,0.0004797209800422942
2347,0.0004797209352963319
959,0.0004767273810983554
1287,0.00047350670532096006
885,0.0004702314718823516
2355,0.0004684138997140058
1413,0.00046825208655151
1140,0.00046704569740948506
2624,0.0004665075954758913
2586,0.0004665075889085129
2567,0.0004665075862990957
2596,0.0004665075824131407
2621,0.0004665075801644245
2620,0.00046650757803474985
2613,0.0004665075759750444
889,0.0004663610983013099
1214,0.00046491137154066004
1194,0.0004639791513184795
937,0.0004614002190297307
2765,0.0004598700637798875
2770,0.0004598700260429705
1794,0.0004595947206000126
1785,0.0004595947187711738
1787,0.0004595947173857032
1771,0.00045959470895334516
1826,0.00045959470552466676
1875,0.00045959469709977023
1886,0.0004595946970426946
1880,0.00045959468761242643
1868,0.0004595946846017731
1842,0.0004595946834626185
1802,0.00045959467759334484
1889,0.0004595946707194199
1825,0.00045959466877162555
2880,0.00045710685542886293
2877,0.0004571068434662015
2875,0.0004571068426735266
871,0.0004566483146217733
574,0.00045589538557753886
857,0.0004555045544089201
1801,0.0004553430604013082
486,0.0004528858093064626
619,0.0004528764022105673
2010,0.0004510914479989562
1932,0.000451091399146218
1969,0.00045109139263432055
2011,0.00045109138035733545
2018,0.000451091379376923
1999,0.00045109137803007576
1929,0.00045109137755495234
1973,0.0004510913735048016
2021,0.0004510913700078279
1951,0.00045109136818641347
1977,0.0004510913644866865
2015,0.0004510913642333249
2009,0.0004510913634857623
1982,0.0004510913629344601
1924,0.00045109135765139915
1987,0.0004510913499510497
1980,0.00045109134970281703
2271,0.0004485034331333738
2266,0.00044850343312230885
2283,0.0004485034273707491
2298,0.00044850342437022564
2295,0.0004485034241003112
2262,0.0004485034227325599
2297,0.00044850341942039365
877,0.0004465054775861405
1916,0.0004448112642418893
869,0.00044093059604232007
1333,0.00044006881816933643
2135,0.00043988808486680617
2806,0.00043853115456928026
2807,0.00043853114698059635
835,0.000437785313032561
465,0.0004366747575091349
2357,0.0004356477670611934
3164,0.0004354113393680207
3166,0.0004354113389542077
2665,0.0004351719690839487
2664,0.00043517195250717154
2663,0.00043517195232117953
2677,0.0004351719502386836
2666,0.00043517193774867443
2172,0.00043452424220650235
3193,0.0004344820681594087
324,0.00043363512594690295
1337,0.00042886859497965664
1090,0.0004279468845186606
816,0.000426964809447571
507,0.0004261965983014206
2921,0.00042353787648167395
2911,0.00042353787380234177
758,0.0004219919857210906
3382,0.0004204920102758322
515,0.00041630399756177686
3034,0.00041418526343604914
3042,0.00041418523982503176
2997,0.00041418523767250637
3010,0.00041418523626326754
3020,0.00041418523626326754
2996,0.00041418523626326754
2959,0.0004141852334514706
3025,0.00041418523039649585
3024,0.0004141852294510011
3029,0.0004141852294510011
3001,0.00041418522854599123
3017,0.0004141852240692064
1330,0.00041266778548259414
754,0.0004118190960613134
914,0.00041080832360232265
714,0.0004107826317404868
3081,0.000410133699777311
3078,0.0004101336992679931
3045,0.0004101336947748213
3046,0.0004101336947748213
3096,0.0004101336939427464
524,0.0004099992766147165
1222,0.00040992940881933636
205,0.0004098456755615156
1328,0.0004087403962708349
2715,0.00040834031221633193
1347,0.0004070926282227285
531,0.0004048880038760636
1793,0.0004048164787498501
1385,0.00040376581605159885
1139,0.0004036113127233247
2564,0.0004030831030780031
1569,0.0004028704506794767
390,0.00040277549655944544
3242,0.00040245656171222565
3244,0.00040245654913445214
3243,0.00040245654595868216
3221,0.00040245654128191375
3199,0.00040245654081315146
3230,0.00040245653765689365
3237,0.00040245653650199364
1888,0.00040103749549408286
2762,0.00039919372586306133
2122,0.0003985572221638998
1202,0.0003981516769388383
1380,0.0003976740399484024
3126,0.00039743926030054466
2809,0.0003972390133194567
361,0.0003967682375178656
1213,0.00039617838097912684
2831,0.00039545478756574336
2828,0.00039545478637558384
2825,0.00039545478569020316
2845,0.0003954547849375931
2844,0.00039545478458438883
2837,0.00039545478458438883
2842,0.0003954547833991266
2841,0.0003954547769957049
2834,0.00039545477041208493
393,0.0003944834702698585
2192,0.0003901687501069047
1193,0.0003893654496473339
603,0.00038917244234099794
3355,0.0003891045292924328
3357,0.0003891045284199425
6123,0.00038719871486488615
904,0.0003868262146744948
2263,0.0003867305221095827
461,0.00038553851447458874
2876,0.00038461626717756144
218,0.0003845957463054771
475,0.00038397491328094407
5533,0.0003833233819312389
587,0.0003823292283518317
1600,0.00038175022386497927
621,0.0003813745685175789
337,0.00038119457756227194
2137,0.00038066995907239917
3055,0.0003800859606174271
662,0.0003783982637502385
502,0.00037794763715390804
2626,0.0003776734395953999
1307,0.00037734352857074466
2579,0.00037645097210148526
2187,0.0003763903626120703
2431,0.00037513877668238113
1302,0.0003749718668091284
2742,0.00037415246060823145
777,0.00037273777468638345
1877,0.00037185452759176115
2808,0.0003717468945773762
1121,0.0003716476541426406
1311,0.00037078785547430974
734,0.0003706641656548667
940,0.0003702682729436009
3303,0.000369505202018721
3320,0.0003695051975443765
3305,0.00036950519718413345
3307,0.00036950519642931694
3288,0.00036950519370228035
