dst,repulink_forward_score
1,0.009117591715926143
4,0.007319974218106941
2,0.007097851288335414
3,0.005342918289614379
6,0.004291534022133498
5,0.004167699131833051
7,0.004022401087382164
18,0.0039965237327914
11,0.003816156026498742
9,0.003336838048029449
10,0.003251467187774069
12,0.0031139017005030493
14,0.0031104487754802855
177,0.003018901783452467
8,0.0029112392489004544
16,0.0028583228266547177
13,0.002707959054118039
15,0.0026630491014237056
22,0.0025526009686758265
27,0.0025150756340000654
19,0.002492633768665496
28,0.0024772713674176767
7564,0.002452747108987391
23,0.0024397137428412777
31,0.002398020331725872
17,0.0023852653021497337
21,0.0021832914113214964
40,0.002134003415312216
26,0.0021032720866507497
34,0.002094204465013215
24,0.0020612277699498297
30,0.0020064588252621386
25,0.0019107588755219375
33,0.0018918257454893423
29,0.001858934132578791
20,0.0018553758861378153
57,0.0018399061503942562
36,0.0017051306797710348
145,0.0017026019295741728
32,0.0016806463919964167
48,0.0016701362714978713
74,0.001654831236200533
43,0.0016527583639590333
44,0.001643355184665911
50,0.0016260818786758896
39,0.0016171028488988202
46,0.0016063154816961056
38,0.001605033489983422
37,0.00157655203598718
45,0.0015406940398436171
798,0.0015290905373444735
35,0.0015105269091095844
79,0.0014568082862091963
90,0.0014422942942510656
172,0.0014081346857379622
69,0.0013802517648226068
102,0.0013736742475607593
54,0.0013670732549434846
58,0.0013654877883811317
51,0.0013375598715160803
42,0.0013076012763368588
49,0.0012995443129053758
84,0.0012863084385428402
65,0.0012800123538468748
77,0.001267881932998477
95,0.001252794821608294
41,0.0012354929365793544
55,0.0012000204639530006
52,0.0011948610117122594
61,0.0011828200388496982
135,0.0011601642294282893
72,0.0011471005462839092
67,0.0011437693598582625
128,0.0011329665118916974
89,0.0011182059352216767
103,0.0011122235130015153
71,0.0010997515732897806
85,0.0010761793895357535
63,0.0010541736043442052
7552,0.0010528820343040854
78,0.0010518511571464173
47,0.0010485087264721059
109,0.001043687064873861
7603,0.0010341488572659845
188,0.0010200457800761116
59,0.001018981078782354
60,0.0010174924216340947
66,0.001011477668556711
81,0.0010064163195099137
118,0.0010043820022841718
125,0.0009997930471358559
136,0.0009893337698906443
92,0.0009870623084430393
75,0.0009857899024668226
130,0.0009857069437021928
93,0.000985487620298145
113,0.0009804159299386835
142,0.0009800035391906222
73,0.0009691569228835019
100,0.0009653288849374674
68,0.0009605053857190057
76,0.0009600489465702067
550,0.0009587085284995437
117,0.0009564200356844878
97,0.0009533618047994344
83,0.0009495630612006236
115,0.0009236821181592063
56,0.0009107902030890179
80,0.0008963280895957246
107,0.0008955855319337667
185,0.0008806259861831995
101,0.0008804456794748096
110,0.0008795814747941814
64,0.0008724740470862782
116,0.0008702399315314997
91,0.0008670896556876791
99,0.0008670583735184783
124,0.0008648451353333804
108,0.0008629073045239822
143,0.000853309457441781
401,0.0008466174077272987
96,0.0008438953920600232
105,0.000836428486233523
122,0.0008358264203234178
88,0.0008288328880085962
87,0.00082499576780122
359,0.0008145533517992987
127,0.0008102464984170161
155,0.0008060053896980591
723,0.0007667336122623884
123,0.0007494014692397647
195,0.0007469153366588762
138,0.000745925900488889
106,0.0007336410084201627
193,0.0007326442739967987
119,0.0007301946913810457
70,0.0007250182310360944
104,0.0007088246279628797
726,0.0007066344681557931
82,0.0006868155510307836
120,0.0006854014075493417
131,0.0006836355931577987
132,0.0006828315659164952
166,0.0006792667058494495
295,0.000671852345779032
176,0.00067173325685098
314,0.0006711321117723186
62,0.000671096061778582
150,0.0006682113249904284
737,0.0006681732622493307
169,0.0006656572734551826
121,0.0006640061108143727
159,0.0006559285688051383
112,0.0006506359752729424
154,0.0006501434538132673
1591,0.0006485497261724338
237,0.0006427940712479725
210,0.0006414424253769681
140,0.0006312676397792406
449,0.0006258903589251436
426,0.0006164310230915623
98,0.0006161271677344285
725,0.000615200846663692
167,0.000613964654716279
161,0.0006118970950262655
133,0.0006117413877925095
222,0.0006107020056191299
618,0.0006096338261924803
7565,0.0006047878809863627
53,0.0006025689886055735
86,0.0005972940773761024
165,0.0005934765528128588
146,0.0005931383844878016
226,0.0005901131401758026
126,0.0005894123999964297
183,0.000588812643249556
5342,0.0005866109101205184
129,0.0005861891633167603
168,0.0005805361544571148
551,0.0005777132140049308
239,0.000575736724420026
294,0.0005754234162555901
447,0.0005726228496208848
301,0.0005693671245476973
555,0.0005641634217049947
152,0.0005621705128210119
249,0.0005564269506459431
518,0.0005554637109608902
160,0.0005527368608678574
563,0.0005509864825831263
200,0.0005500245046496215
153,0.0005496897934852355
776,0.0005492522283658209
408,0.0005474755751088174
156,0.0005414177859218343
212,0.0005404534461304184
190,0.0005388721112585422
148,0.0005353924445573812
333,0.0005351953627463574
368,0.0005334472980211384
158,0.0005325939548740274
223,0.0005313355239933383
385,0.0005307922468104278
402,0.0005296536831498904
