dst,repulink_reward_only_score
3020,0.0019561504726165586
3029,0.0019561504566247057
3001,0.0019561504463138234
3025,0.001956150416667194
3042,0.0019561503886350575
3024,0.001956150373790405
2959,0.0019561503711435484
2997,0.0019561503618012294
3017,0.0019561503611857374
3034,0.0019561503605822097
2996,0.0019561503526040777
489,0.0015745930129573886
491,0.001574592923112115
462,0.0015745928806634973
476,0.0015745928802027998
464,0.001574592795077633
347,0.0015745926777611776
538,0.0015745926537386963
521,0.0015745926183747044
472,0.001574592563338988
542,0.001574592533609454
527,0.001574592478088543
477,0.0015745924778620807
503,0.0015745924581304597
506,0.0015745924474193285
474,0.0015745924471148975
509,0.0015745924281889048
5487,0.0015745924199482995
1115,0.001213183032792034
1116,0.0012131829899812581
3026,0.0010494090633462985
3010,0.0010448122718067436
3012,0.0010357411835243257
2484,0.0009787076028974736
2486,0.0009787072251949795
2473,0.0009787072038544582
2434,0.0009787072037065836
2466,0.0009787072032031569
496,0.0008844272470322009
498,0.0008748435763843053
482,0.000857106649418242
479,0.00085543371832968
522,0.00085447601056878
494,0.0008524203318782157
501,0.0008508471482490901
520,0.0008493843469696368
2940,0.0007930304334613716
2934,0.0007625316665924569
1499,0.0007602686488282231
1464,0.0007602682760082532
1420,0.0007602681264807084
1571,0.0007602680378657802
3008,0.0007515325438590356
5233,0.0006615295611164249
463,0.0006254029948552698
3038,0.0006238979599761041
504,0.0006175858191671414
528,0.0006066343473978012
2994,0.0005229733728073941
2962,0.0005117459884789858
322,0.0005026852352906251
468,0.0005013945606953088
3002,0.00050047444556734
5418,0.0004992812194629464
4877,0.000497445232621427
4189,0.0004938038992294573
4210,0.0004938038347298916
4226,0.0004938038072300287
4191,0.0004938038059875197
1482,0.0004897905199462297
772,0.0004690953640584718
756,0.0004690953204000135
3013,0.00046857821475146735
1444,0.0004649648152483356
3027,0.0004600181169773465
1113,0.00045739941281049265
478,0.000456067094712948
3021,0.000446505492793874
531,0.00044230455370475563
3003,0.0004371970275107361
486,0.0004362474517190786
515,0.00043561899658715517
2987,0.0004352102833844621
5532,0.0004335144033856014
1413,0.00043098324912400497
3041,0.00042893671451343777
458,0.0004232800187648477
495,0.00041841937144435813
2474,0.0004179753186933974
511,0.000413573203020429
