dst,repulink_score
1,0.01613859980700976
2,0.012512001136332863
3,0.009355556892789886
4,0.012951907503186652
5,0.007401235235266396
6,0.007552985962907516
7,0.005381563942073643
8,0.005082131274655038
9,0.005901626819859525
10,0.005720598951924334
11,0.006736473013031668
12,0.005506394309138631
13,0.0047920988191169364
14,0.005521376710526867
15,0.004737799764461746
16,0.005083005341082864
17,0.00423062470987483
18,0.007062921340823989
19,0.004404229221808073
20,0.003298835801502879
21,0.00383154658774636
22,0.004513801701230613
23,0.0043191046805877735
24,0.0036348843013020936
25,0.0033309197297162704
26,0.003693164175039027
27,0.004406823520414995
28,0.004172084221686381
29,0.00327636485641433
30,0.0034255279986616554
31,0.004233289877281627
32,0.002962079760430552
33,0.0033438921784528365
34,0.003675887114951772
35,0.0026804646008900044
36,0.002975451107303304
37,0.002786981498964393
38,0.0028475436233669606
39,0.0028507028202550463
40,0.003750944104908372
41,0.0021642538623049736
42,0.002310661524542551
43,0.0028850003992114026
44,0.0029170083333707494
45,0.0027023832067767945
46,0.002866162527991556
47,0.001849727297072741
48,0.002929789677824289
49,0.0023062311225379947
50,0.0028430599227646544
51,0.0023520292702804025
52,0.002108539100365368
53,0.0010558557803350113
54,0.0023358161439489614
55,0.0020784037762187606
56,0.001602096443439404
57,0.003202023288665532
58,0.0024235255602267727
59,0.0018120129048017084
60,0.0018050868743877534
61,0.002108905235016709
62,0.001166772829465587
63,0.001875717887336661
64,0.0015513501354543198
65,0.0022538414856911036
66,0.0017845446438217213
67,0.0020061975342664483
68,0.0016969946125196052
69,0.0024393326084960654
70,0.0012760784436037606
71,0.0019515544245120957
72,0.0020300454485188196
73,0.0016879135677198807
74,0.0029469342798985098
75,0.0017211678757862367
76,0.001659917253571643
77,0.0022049510707173136
78,0.0018343448690928586
79,0.0025678823497685584
80,0.0015469917068956795
81,0.001787286546038999
82,0.0012222345751288421
83,0.0016706166259671104
84,0.002216202514762567
85,0.0018801298211112807
86,0.0010608151791395822
87,0.0014543026914992376
88,0.0014673353375990411
89,0.00195319686814179
90,0.002452638495590753
91,0.0015363004211364079
92,0.0017480677016878405
93,0.0017458250537155454
94,0.0008778969089678128
95,0.002086433051013587
96,0.0014734828186205532
97,0.0016793133590232727
98,0.0010842500754498024
99,0.0015316962480724232
100,0.001694488280406428
101,0.0015583112131725798
102,0.002254781707322973
103,0.0019510399863492275
104,0.0012583419103824947
105,0.0014789828244489314
106,0.0012948042646000483
107,0.001581259538744883
108,0.0015091560765062005
109,0.0018383392886389494
110,0.0015457907204017708
111,0.0008821448774412455
112,0.0011491752365344334
113,0.001720022022745233
114,0.0009275634434909552
115,0.0016426491762972352
