dst,powertrust_score
186,0.013299932806947606
4,0.013261705497532202
2,0.013202129760144529
180,0.012370191023637796
374,0.010489113492510383
74,0.009476398762160644
119,0.009470990486212284
20,0.009225019063716875
1,0.009212365847057064
71,0.00914793756291538
144,0.009079243021228815
91,0.00896063399042815
176,0.008409318795624825
15,0.007928025795152878
235,0.007869990706052231
169,0.007864912431501654
215,0.007849777846078107
754,0.007845676742990072
160,0.0073716552328295815
246,0.007165306621346101
232,0.007096310867146769
112,0.007082419718965866
267,0.007075758316197318
234,0.007068253869889159
247,0.0070178666950864175
129,0.006876151584401217
302,0.006512337480913987
7604,0.006279126090884407
265,0.006276914654643806
3,0.006076851761423752
7335,0.005942844503412094
6,0.005694140496332661
230,0.0055896988462335725
9,0.005473502779535934
400,0.005114374108101299
8,0.00507449391501314
23,0.004945698616795279
200,0.004540653240858011
378,0.004443819002967844
177,0.004433093238381252
54,0.004326038339738725
18,0.00415926480673762
11,0.004089704711990626
16,0.004083713786707912
27,0.004083678499467733
5,0.003896116029666054
7,0.0038559059617520527
60,0.0037319597009200216
14,0.003448440479005673
10,0.0034328223344970254
12,0.0031575934780734387
25,0.003153789227983464
364,0.0030423108917074157
145,0.0029998134297867995
35,0.0029829141859396262
17,0.002843663665324307
294,0.0028168361809572805
55,0.0027359025513059958
469,0.0027088686238506215
21,0.002671651756265304
188,0.0025435462320676744
281,0.002511013713170726
26,0.002470315341831305
22,0.002448420122982808
38,0.0024294301711865955
37,0.0023616275531585344
13,0.0022785915607632184
24,0.0022323292255776684
40,0.0022254863163528047
99,0.002191008845405283
69,0.002186916250067164
31,0.0021357754527771174
7564,0.0021053074696809103
1073,0.0021036893847875614
7552,0.002045415373552465
19,0.00200861280837484
322,0.0019933699254167424
89,0.0019919371543329653
104,0.0019011505468175842
198,0.0018886352549422516
63,0.0018840704734990872
131,0.00186128346984798
64,0.0018605783159053241
94,0.0018224317010329463
86,0.0017879656446709478
307,0.0017671863247313944
28,0.0017596506710387382
32,0.0017592596753278962
607,0.001753535780227477
349,0.0017452093383050872
36,0.0017357187547633085
39,0.0017090767289087742
81,0.0017060904169856185
48,0.001699625103300435
45,0.0016971837499368215
1207,0.0016744097392023326
33,0.0016625859999745327
30,0.0016599729967443817
29,0.0016446539303599707
755,0.0015980642462648936
114,0.0015931910490643046
157,0.0015920462295417994
113,0.0015719332361103153
418,0.001571421578927414
44,0.0015264254551860762
47,0.0015223520889908438
43,0.0015194591678572673
187,0.0015110774576796004
95,0.0015052408600092866
229,0.001503406842571275
56,0.0015033364603045565
2336,0.0014963347356783826
50,0.0014942873431445295
185,0.001485282140892594
80,0.0014753139497861035
34,0.0014739308804284598
57,0.00147209783228088
42,0.0014713050279542752
209,0.001470337249894615
125,0.0014450371087173263
274,0.001429386883181596
1448,0.001421574778895767
84,0.0014206860526105325
126,0.0014104297687717764
152,0.0014021360952927314
41,0.001398558360333694
495,0.0013701770643586107
58,0.0013542369400050484
7565,0.0013537541473253904
559,0.0013336126549575338
1691,0.0013255312526723655
65,0.0013248501864441614
90,0.0013048841729648086
243,0.0012994897801567797
52,0.0012925014674282419
107,0.0012862871581399724
