dst,hybrid_score
143,0.20047500679018795
737,0.1732149457890696
790,0.16888724720031853
1179,0.15340845852731747
1719,0.15003375900291377
4416,0.12378689295935634
780,0.119720796473961
1,0.11269962656435073
34,0.1078833395947374
1516,0.10786170053585516
791,0.10528248454256323
28,0.10355088719162438
1619,0.10313946847034462
1621,0.10102894194694281
401,0.0954669899020784
4415,0.09315293695496511
725,0.09175696849524302
77,0.09153576482662658
1753,0.08992946183139279
44,0.08841041368834644
125,0.08800641645725937
550,0.08690130303648883
135,0.08477599441185586
2512,0.08472645357968263
735,0.08236441743274028
849,0.0822395508239087
1440,0.08130194536753642
726,0.08089388690346733
1191,0.07715256268550634
418,0.07651998037840392
31,0.07619325910473766
2239,0.07603065366708671
1029,0.07590892864339688
4969,0.07108629726957255
1623,0.06933867274530443
738,0.0689400183024505
1401,0.06872288654825363
438,0.06803504009760021
1756,0.06787812243763777
74,0.06736427135866738
64,0.06694919745028868
1164,0.06675067130147405
433,0.06664068699017538
385,0.06578567313489994
918,0.06539068071758673
717,0.06538529822529399
2120,0.06501899618761517
549,0.06462711518603484
1909,0.06341551923494816
35,0.06248005747896203
449,0.061746793321358004
19,0.06156474612640266
1178,0.06105632923395808
1247,0.0602021819741283
103,0.05847160615702512
715,0.05835118873939423
295,0.058178778080508295
1432,0.05808748185151131
398,0.058082979250148346
1606,0.05789185079764271
546,0.05788600837839938
301,0.05787180594829283
1620,0.05785242987725962
4282,0.057763290677478915
1617,0.05684414926142053
329,0.05592446952642612
2066,0.0556570018708047
776,0.05465601270102322
1749,0.05447801231857065
681,0.05436916233929447
1172,0.05421821332840021
2969,0.05399976994856157
104,0.05381484316937548
645,0.05372490689871017
66,0.053690690291554044
395,0.053082245896869926
388,0.0527808930774398
1075,0.052269970110403366
555,0.05210748832852829
3281,0.0519386909792506
1894,0.05178112482180577
563,0.05177580737108826
443,0.05161301457035678
5038,0.05146066520619782
1399,0.05132111436528537
854,0.05068090764636673
81,0.05059226264222238
46,0.05053153663513674
3655,0.050437959476720536
634,0.05030204057777776
3540,0.049959939212954656
1274,0.04977337098015006
210,0.049743423067760424
1429,0.04974069287959851
786,0.04956059263146422
13,0.04954637714202327
29,0.049312946227848944
1014,0.0490995728976379
1405,0.04908629776729463
1577,0.048958775790693874
1396,0.04862731292584605
2227,0.048569762892195854
1409,0.048430599388580055
576,0.048089512287912875
843,0.048037466504767715
141,0.04781054197377193
723,0.04751664508877323
883,0.0472339689053178
1023,0.04712299487943832
722,0.047021492453028974
1173,0.04671695657868003
2118,0.046684527439093126
107,0.046632694249539065
689,0.046624930558094815
663,0.046516002465700895
1903,0.04645880741938138
5958,0.04641533138456581
187,0.0458063507515812
5952,0.045413821993409015
2144,0.04530074800562199
83,0.04500837599739132
374,0.04500028515462863
879,0.04479418012156636
3685,0.044626409827521245
2228,0.044616574407774515
733,0.04448185823163584
112,0.04443176179542254
127,0.044423121322444234
1712,0.043871777795931016
169,0.04384781145585194
2656,0.04361158621929901
860,0.043434808666818425
1613,0.04343212288235423
382,0.043296339927335975
1918,0.043216651030443386
138,0.043177699236169244
65,0.04303764556480025
1177,0.04290511536040079
586,0.04228932755175119
402,0.042216270489452985
72,0.04207837349873293
4161,0.0419876181814015
551,0.041875083954397783
101,0.04183838408349002
1111,0.04174100876074574
1390,0.04107450059066616
51,0.04105469746184012
2113,0.040916559605404315
2236,0.04053862404695007
2115,0.040412357769819184
664,0.04028573928190449
2464,0.04018771167443348
45,0.039979570123997894
1024,0.039933560636986686
4045,0.03962398002698405
728,0.039517671988028996
850,0.03950679082283948
1190,0.03939526486582761
381,0.039348506849179746
93,0.039311142196208335
440,0.03928269446812668
639,0.039266326695248856
447,0.03909683208935122
2643,0.03900531573698156
429,0.038961043054618276
3505,0.03895679979684379
100,0.038665396972379265
763,0.03858842723215641
1304,0.03856862809086223
299,0.03833443273109296
431,0.03830868601347071
96,0.03817128508262794
1323,0.03791436683663621
1635,0.0377956434408577
426,0.037507612700594495
1129,0.03748411968620276
61,0.037000490574028946
789,0.03698461735830259
1288,0.03686726833861604
556,0.03686351264577281
1935,0.03685935897969111
4170,0.036330023090379276
783,0.036199132328290924
165,0.035975729273530314
1815,0.03582357901167481
105,0.035810270826385014
3899,0.03556016382596406
1283,0.035542122961664535
1751,0.03552189752280475
1471,0.035492105282625926
53,0.035462800950353576
2375,0.03541135097145809
637,0.035302577018104526
195,0.03527925475744778
452,0.035123182836480665
973,0.03507515457451678
235,0.035057469274194356
55,0.0348847774398938
684,0.03488220324090525
793,0.03477318971395515
650,0.0346981485407166
413,0.034615839967185286
69,0.03442748598459657
1438,0.034397905939074505
427,0.03431394519630876
1576,0.034225195019969054
71,0.03409668424494829
4162,0.033983059296009914
1020,0.0339197854544013
1892,0.03390011062345084
1754,0.033861054709731754
2059,0.03384531779741267
1207,0.033805510024966456
4412,0.033710802035078785
2636,0.03370675342885547
4454,0.033700793891673325
10,0.03369063691618603
54,0.0336879341205039
4037,0.0335635620851336
697,0.03339697294901295
590,0.033340204163842035
446,0.033268564773529956
2028,0.0331995760060611
2174,0.0330891072351197
2995,0.03303842978144476
1400,0.03266130454972961
766,0.03263814873614879
225,0.03256806414017599
686,0.03254487567268717
2528,0.032518250430027415
2,0.03241058996941149
79,0.03238675799084276
368,0.032386421095385254
21,0.03213604408930486
5144,0.03201976246881888
1776,0.03200420833165101
140,0.031990624518109946
421,0.03192580888585951
394,0.031759100757890985
223,0.03160444252774489
369,0.031590452937284776
1574,0.0314990471702668
1895,0.031463547063270696
6,0.031434795304552655
1975,0.03136694018318885
4061,0.031199641214578258
2444,0.031110208718578676
408,0.031011666542806023
233,0.030983058912469573
2244,0.030890849201325867
4040,0.03081325877609049
2063,0.030730531111354743
1411,0.03069931485507692
2694,0.030578843349700888
120,0.030571948367247723
3420,0.030409752010566504
1397,0.030409366139397157
20,0.030358523482672192
1268,0.0303554712243667
1908,0.0303109289567832
2652,0.030308495304948908
1642,0.030162822510445605
751,0.030159171812959257
68,0.030106836215047377
853,0.030070850924778743
26,0.029964532701848477
1476,0.02990130178462775
2161,0.02988519206719218
2062,0.029767635749102156
289,0.029632724201135874
390,0.029593700511880167
1163,0.029575871786978968
4168,0.029551634685330466
37,0.029539921047766673
1716,0.029488889164532857
665,0.029417754633884272
3410,0.029358013999560853
3065,0.02926334056819608
2052,0.029257115497288304
3502,0.029227760626229143
2685,0.02914595630216421
78,0.02886850703368064
997,0.02878082686080666
3428,0.02871578800377828
333,0.028698680203875573
1437,0.02868603495011858
993,0.028611083308089046
588,0.028523498395477787
1392,0.028468876725710867
4931,0.028450009963286775
110,0.02839136541134432
848,0.02832667936053165
39,0.028201829411564835
3138,0.028178511787864145
4414,0.028176954637191626
975,0.02811831680218924
4055,0.028081052193950195
923,0.028076956660281833
1181,0.028063687880208424
3174,0.02795246330368735
844,0.027792463317306015
4123,0.02778849576480984
1857,0.02752954069052222
1224,0.027526464141048035
888,0.027519590062956265
33,0.027493488843197078
3264,0.027414023027842533
