dst,repulink_bepp_score
3020,0.002338726123441782
3029,0.002338726104112645
3001,0.0023387260916500193
3025,0.0023387260558165373
3042,0.002338726021934471
3024,0.0023387260039919393
2959,0.0023387260007927194
2997,0.002338725989500784
3017,0.002338725988756847
3034,0.0023387259880273716
2996,0.00233872597838431
489,0.0018770182329111353
491,0.0018770181243163615
462,0.001877018073009288
476,0.0018770180724524493
464,0.001877017969562805
347,0.0018770178277639825
538,0.0018770177987283325
521,0.0018770177559843514
472,0.0018770176894634212
542,0.0018770176535297333
527,0.0018770175864223546
477,0.0018770175861486328
503,0.0018770175622992876
506,0.0018770175493528878
474,0.0018770175489849256
509,0.0018770175261093333
5487,0.0018770175161490243
1115,0.0014425977174651876
1116,0.0014425976657203782
3026,0.0012411597297295716
3010,0.0012313767752422124
3012,0.0012185512530671274
482,0.0010099383233749231
522,0.0010061426857429477
479,0.0010024631960908257
498,0.0010017064287001006
520,0.0010005080375886724
494,0.0009994453841241418
501,0.0009880005508448885
496,0.0009853122114049265
2940,0.0009330628429235905
2934,0.000894645849878488
3008,0.0008834845225895102
1499,0.0008625237066723077
1464,0.0008625232560498239
1420,0.0008625230753178913
1571,0.0008625229682102195
2484,0.0007885099871735376
2486,0.0007885095306496122
2473,0.0007885095048556109
2434,0.0007885095046768772
2466,0.0007885095040683921
5233,0.0007688064636235153
463,0.0007250757261857196
3038,0.0007179877831655916
504,0.0007150305018053592
528,0.0007036604066666436
2994,0.000601285299138139
2962,0.0005909503425358413
322,0.0005805750441775659
468,0.0005761598320492832
5418,0.000576049196282191
3002,0.0005746868651734225
4877,0.0005745943444378844
4189,0.0005733957456902074
4210,0.0005733956677304497
4226,0.0005733956344917353
4191,0.0005733956329899313
1482,0.0005557366864696028
3013,0.0005325209541169785
772,0.0005322951491681149
756,0.0005322950963987235
478,0.0005264777090135024
1113,0.0005257476407223894
3027,0.0005222480287432017
1444,0.000521405100828858
3021,0.0005113408295715786
2987,0.0005043032231861459
515,0.0004993588744218626
486,0.00049849050128492
531,0.0004982670883810235
5532,0.0004975033299265666
3003,0.0004970478877759807
3041,0.0004904513992140596
1413,0.00048496427563712104
495,0.00047207355490213384
458,0.00047080842807381963
3332,0.0004645195042198706
1569,0.00046075451590619744
1823,0.0004559367694808287
758,0.0004537393325421249
585,0.0004514201073153909
5747,0.0004476370674607476
5748,0.00044763706718792853
5744,0.0004476370595061762
5743,0.000447637055613145
511,0.00044653501379821026
3031,0.00044157488811224545
2998,0.0004366338216274131
507,0.00043440347185163945
3086,0.0004300372220248762
2974,0.00042426737409268406
3018,0.00042139015429686077
2076,0.00041647047507445113
337,0.00041637253283376824
2601,0.000413689858478617
5491,0.0004061689157182383
465,0.0004025657070337446
5894,0.00039750397400776377
324,0.0003937933336521289
513,0.0003902031804711202
1202,0.00038962021932086656
3121,0.0003892728833600823
2966,0.00038548123586786383
4563,0.00038530345601255566
3032,0.0003826176093925368
470,0.00037965452335301863
2301,0.0003781823148954157
2674,0.00037779548216117145
1570,0.0003762142109443321
525,0.0003669160501583601
4459,0.0003630333498677121
4434,0.0003630331897921447
4480,0.00036303313312784676
4431,0.00036303310918491807
4460,0.00036303310348378135
4446,0.00036303309575879533
4440,0.00036303308730943027
4444,0.0003630330807681079
4429,0.0003630330768861029
4442,0.00036303307654075016
4447,0.00036303307654075016
4483,0.00036303307280004954
4509,0.00036303306890390354
4433,0.00036303306840339766
4468,0.00036303306733404396
4469,0.00036303306733404396
4443,0.0003630330660712209
1421,0.00036175795470506797
393,0.0003614182037530014
2999,0.0003603449392452741
3359,0.00035947779135610616
4222,0.0003590687400323491
2931,0.0003583303708881907
4881,0.0003581243637177024
457,0.00035502651785351006
490,0.0003548111459776098
939,0.0003540389367601261
