dst,pagerank_score
35,0.015805528784969672
2642,0.013278181113342431
1,0.009053362922816359
7,0.008790576287503193
1810,0.007505622238480262
4172,0.00691143499943618
2028,0.006818339172622192
1018,0.0058588112336839995
1953,0.005833532332906583
2125,0.005205560159526164
4197,0.005073657084633641
905,0.004967401507099215
13,0.004405029284240164
4291,0.004213111439954875
1386,0.003979682271805233
25,0.003926169790284376
202,0.0036969231681299474
2296,0.0034028426469159675
2625,0.0032136781488671822
1566,0.003040863374124793
3735,0.003037166807467258
1352,0.003034032995632832
1217,0.002985165817540843
1899,0.002976738318833464
1396,0.0029274679160569902
1334,0.0029202189879733377
2942,0.0028536750205050863
60,0.0028482817983231665
832,0.002832584323331312
546,0.0028308832541100288
304,0.0027419254587910755
1317,0.002575739547119523
3988,0.00255132211489889
2067,0.002524592123456387
3828,0.0024811518097379026
3897,0.0024753263592015707
2388,0.002428274935013651
908,0.0023853259180621374
1565,0.002338623640592417
2635,0.0023284932040133453
1201,0.0023156042399060544
3018,0.0022950625796031424
1731,0.0022927059699237836
1832,0.002280444528135614
2045,0.002268958691578701
41,0.0022506592072952863
57,0.002188387107251278
2647,0.0021516061351594257
1615,0.0021176749214138852
135,0.0020909660589381136
3649,0.002087806256804867
4,0.0020525811176859716
3451,0.0019797814027738125
1162,0.0019192969240469974
775,0.0018242081767678921
2198,0.001818787389198774
353,0.0017576624490652382
882,0.0017355450182127239
1771,0.0017268211045584072
1744,0.0017210886595135488
104,0.001686699918369978
64,0.0016680878714289134
4649,0.001662802234312653
545,0.001656533773640488
468,0.001655250395120424
3598,0.0016200282965446887
4611,0.0016189551254321142
215,0.0016104757587587376
4694,0.0016063630508591474
3219,0.0015934889880821405
280,0.001562493429210703
2,0.0015586023533087294
1585,0.0015550002219026696
1860,0.0015434122075764023
523,0.0015388860126653206
4559,0.001481313700652321
198,0.0014517256228861863
2600,0.0014508062461728987
5612,0.0014239560541001617
3916,0.0014177452202309784
2725,0.001414770212721545
1185,0.0014126823708320618
3837,0.001410917106606091
1316,0.0013806508143527254
570,0.0013737888364607394
729,0.001357658295785618
2897,0.0013512223698967745
4107,0.001334661350331249
492,0.0013260006558518291
2118,0.0013208138025199703
1363,0.001311778775371534
3719,0.0013030244642144191
4635,0.0013022124935379437
1555,0.0012939846741677607
4833,0.0012822270504782942
537,0.001277887868960073
1802,0.0012613702950205372
5227,0.0012460920866817298
2835,0.0012459669003193612
2404,0.0012459327957604286
2378,0.0012409222080396153
1383,0.0012269858531147116
3820,0.001183625599549293
687,0.0011731924663421712
1675,0.0011680407514944398
6,0.0011606867671393045
